pk_numero	data	numero	rubrica_all	note_fuori_rubrica	notizie_fatti_storici	note	note_varie
139	1946-06-17	139	no	concorso fra poeti e musicisti IT per l'inno della nuova repubblica IT (2); premio letterario Kornmann a Edoardo Chapuisat (p3); mostra d'arte alle Ghilda del Libro (3)			
140	1946-06-18	140	no		"""Ebrei in sommossa nella Palestina"" (4)"		
141	1946-06-19	141	no	mostra d'arte alla Ghilda del Libro (3)			
142	1946-06-21	142	si	mostra del libro svizzero a Buenos Aires (1)			
143	1946-06-22	143	no	Antonio Greppi a Ginevra (2)			
144	1946-06-24	144	no		La Lega londinese per la difesa del cane propone di sostituire gli animali con i criminali di guerra nazi per esperimenti atomica Bikini (4)		
145	1946-06-25	145	no	premio letterario Théophraste Renaudot attribuito a David Rousset; premio Goncourt a Francis Ambrière (4)			
146	1946-06-26	146	no				
147	1946-06-27	147	no		Questione colonie italiane (1)		
148	1946-06-28	148	no		propongono la duplice sovranità su Trieste (1	 altro a p3)	
149	1946-06-29				NUMERO ASSENTE IN DIGITALE		
150	1946-07-02	150	no	"""Date dei libri"" (appello a donazioni per biblioteche/centri istruz IT, p4)"	bomba atomica su Bikini (1)		
151	1946-07-03	151	no		questione Trieste (1)		
152	1946-07-04	152	no	"""Ghilda del libro Gutenberg contro 'Volksbuchgemeinde'"" (2)"			
153	1946-07-05	153	si	"""Date dei libri"" (appello a donazioni per biblioteche/centri istruz IT, p2)"			
154	1946-07-06	154	no		scioglimento dei CNL in Italia (3)		
155	1946-07-08	155	no	poesia di Giuseppe Scorti nella pag della Gioventù Socialista (2)			
156	1946-07-09	156	no	"racconto ""Ricordi di un viaggio"" di E.A. nella pag ""La nostra compagna"" (2)"	"""Il dramma della Palestina"" (1)"		
157	1946-07-10	157	no	epurazione nelle biblioteche in Germania (4)	 dichiarazione di B. Croce sulla situa in IT (4)		
158	1946-07-11	158	no	"settimana internaz di cultura a Locarno, tema ""Gli scrittori della resistenza in Francia ed in Italia"" (3)"	continuano scioperi a Trieste (2)		
159	1946-07-12	159	si				
160	1946-07-13	160	no	"settimana internaz di cultura a Locarno, tema ""Gli scrittori della resistenza in Francia ed in Italia"" (2)"			
161	1946-07-15	161	no	"""umanità e socialismo del Bertacchi"" (1)"			
162	1946-07-16	162	no				
163	1946-07-17	163	no	307 anni dalla morte di Tommaso Campanella (1-2)			
164	1946-07-18	164	no	scrittori parigini a Locano (2)	odissea italiana: i prigioneir ritornano (1)		
165	1946-07-19	165	no				
166	1946-07-20	166	no				
167	1946-07-22	167	no				
168	1946-07-23	168	no	"Due parole con il lettore: parliamo troppo dell'Italia? (p1); Un museo dei poeti a Liestal (2); libro ""Storia di un matrimonio felice"" di Margaret Cole (3)"			
169	1946-07-24	169	no	"su Dino Segre (=Pitigrilli) in ""Quel che scrivono gli altri"" (2); ""un anniversario ammonitore"" in ""qualche cosa"" (rubrica x poesia?? P3)"			
170	1946-07-25	170	no		Controrivoluzione in Bolivia (1); Tre anni fa (caduta del fascismo	 p3)	
171	1946-07-26	171	si		"a Bikini scoppia la 5° atomica (""L'umanità non potrebbe sopravvivere ad una guerra atomica"")"		
172	1946-07-27	172	no	articolo di Silone sulle difficoltà della democrazia in IT (2)			
173	1946-07-29	173	no	"Film ""Il battello dipinto"" (1)"			
174	1946-07-30	174	no		battaglie stradali a Trieste (foto	 p1)	
175	1946-07-31	175	no				
176	1946-08-02	176	si	"concorso per nuovo titolo del settimanale cinematografico ""Piccolo"" (3), nuovo direttore del ""Popolo"" IT (4)"			
177	1946-08-03	177	no				
178	1946-08-05	178	no	articolo su George Bernard Shaw	 di Giuseppe Sinicco (p2)		
179	1946-08-06	179	no	annuncio premio letterario LS (p4)			
